model,q_length,seq_length,positions_scored,mean_score,mean_pll,total_score
human,37,105,105,-5.552957037929212,-1.1005836344811888,-11078.149290668778
rice_balanced,37,105,105,-5.414285554560858,-1.1195041512360886,-10801.499681348912
chlamydomonas_balanced,37,105,105,-5.607289694507319,-1.1053543807495207,-11186.542940542102
base,38,106,106,-5.535046520261899,-1.1077255781845383,-11147.583691807464
merged,38,106,106,-5.598768627040769,-1.0972692781778157,-11275.920014860108
human,38,106,106,-5.605623469111124,-1.0913026924025409,-11289.725666789804
rice_balanced,38,106,106,-5.4723402853607075,-1.1074616044434666,-11021.293334716465
chlamydomonas_balanced,38,106,106,-5.659643580587932,-1.0961637972318128,-11398.522171304096
base,39,107,107,-5.589475006262959,-1.0963628807923296,-11363.402687732596
merged,39,107,107,-5.653021111245832,-1.0859818249618827,-11492.591919162776
human,39,107,107,-5.662482074724256,-1.081039213364352,-11511.826057914412
rice_balanced,39,107,107,-5.52406718349611,-1.0992361731635771,-11230.428584047593
chlamydomonas_balanced,39,107,107,-5.718371666319654,-1.0859696467224265,-11625.449597627856
base,40,108,108,-5.63978055242681,-1.0869608124851733,-11572.829693579813
merged,40,108,108,-5.70503160072201,-1.0773030793751348,-11706.724844681565
human,40,108,108,-5.715592855410936,-1.0708061083267373,-11728.396539303241
rice_balanced,40,108,108,-5.5776683722375795,-1.0889265412568219,-11445.375499831513
chlamydomonas_balanced,40,108,108,-5.772585427427354,-1.0761718403987794,-11845.34529708093
base,41,109,109,-5.691026852317541,-1.0763548948767876,-11786.116611149628
merged,41,109,109,-5.755441711035537,-1.0666443663691982,-11919.519783554599
human,41,109,109,-5.7650683794340605,-1.0615461643255495,-11939.456613807939
rice_balanced,41,109,109,-5.627327342737801,-1.0789283386756316,-11654.194926809985
chlamydomonas_balanced,41,109,109,-5.821413558401898,-1.0664112502110934,-12056.14747945033
base,42,110,110,-5.744194158517898,-1.0671946795593779,-12005.365791302407
merged,42,110,110,-5.812887557088977,-1.0571403445781802,-12148.934994315961
human,42,110,110,-5.825137513338668,-1.049699811055325,-12174.537402877817
rice_balanced,42,110,110,-5.680698643806591,-1.0673598590899598,-11872.660165555775
chlamydomonas_balanced,42,110,110,-5.879065203595389,-1.0563422390005806,-12287.246275514364
base,43,111,111,-5.800796310022017,-1.0576149929243535,-12233.879417836433
merged,43,111,111,-5.864956314008482,-1.046833316170451,-12369.192866243888
human,43,111,111,-5.878960903758808,-1.0385107630045731,-12398.728546027327
rice_balanced,43,111,111,-5.7363376307154175,-1.056785449897451,-12097.936063178815
chlamydomonas_balanced,43,111,111,-5.9370327644746075,-1.0448771626562685,-12521.202100276947
base,44,112,112,-5.852984030734852,-1.0470873423764715,-12455.150017403765
merged,44,112,112,-5.913313961251949,-1.0380537741626281,-12583.532109544147
human,44,112,112,-5.926726444905008,-1.0316302072377377,-12612.073874757858
rice_balanced,44,112,112,-5.7856201997994665,-1.0488669905025745,-12311.799785173265
chlamydomonas_balanced,44,112,112,-5.986846563744922,-1.0358846160046855,-12740.009487649193
base,45,113,113,-5.904758585974597,-1.0378082576290235,-12677.516684087459
merged,45,113,113,-5.966154001296303,-1.0271046434475555,-12809.332640783163
human,45,113,113,-5.977484415377034,-1.021676165261924,-12833.65903981449
rice_balanced,45,113,113,-5.836851089935456,-1.038517232108614,-12531.719290091423
chlamydomonas_balanced,45,113,113,-6.040411093867196,-1.0255405230373473,-12968.76261853287
base,46,114,114,-5.954777967390739,-1.0290545693337263,-12898.049077368341
merged,46,114,114,-6.015565676330537,-1.0185369751518265,-13029.715254931943
human,46,114,114,-6.0292940617916075,-1.0133383574838375,-13059.450937840622
rice_balanced,46,114,114,-5.888712923754942,-1.0297516672545226,-12754.952192853205
chlamydomonas_balanced,46,114,114,-6.091796443846127,-1.0167411033272449,-13194.831097370712
base,47,115,115,-6.003476984143147,-1.019139884699784,-13117.597210352775
merged,47,115,115,-6.0639080066857245,-1.0085047842145127,-13249.638994608307
human,47,115,115,-6.077614711831245,-1.004810432954084,-13279.58814535127
rice_balanced,47,115,115,-5.937844359347153,-1.0203033383389044,-12974.18992517353
chlamydomonas_balanced,47,115,115,-6.142068727756051,-1.0081243256187957,-13420.420170146972
base,48,116,116,-6.053954942418857,-1.010355825622261,-13342.91669309116
merged,48,116,116,-6.117209340682014,-0.9989292257453379,-13482.329386863159
human,48,116,116,-6.128261586483555,-0.9967750698861922,-13506.688536609756
rice_balanced,48,116,116,-5.980056239655427,-1.010916229626485,-13180.043952200562
chlamydomonas_balanced,48,116,116,-6.187196367586217,-0.9999038931604571,-13636.580794160021
base,49,117,117,-6.108655812236905,-1.0008570430103816,-13579.54187060264
merged,49,117,117,-6.168258301813714,-0.9917312989620348,-13712.038204931887
human,49,117,117,-6.179761951456615,-0.9861701515495268,-13737.610818088055
rice_balanced,49,117,117,-6.025759154009443,-1.0019813840572014,-13395.262599362992
chlamydomonas_balanced,49,117,117,-6.242879296791959,-0.9911333680069313,-13877.920676768525
base,50,118,118,-6.1524936052810455,-0.9927939830241346,-13793.890663040103
merged,50,118,118,-6.2151969392911885,-0.9830249235965312,-13934.471537890844
human,50,118,118,-6.224723951601636,-0.9784385378855296,-13955.831099490868
rice_balanced,50,118,118,-6.076861902731608,-0.9923077072095821,-13624.324385924265
chlamydomonas_balanced,50,118,118,-6.2901051846528295,-0.981752097608632,-14102.415823991643
base,51,119,119,-6.2031251697549585,-0.9836463075182048,-14025.266008815961
merged,51,119,119,-6.258599899628697,-0.9749421501618286,-14150.694373060483
human,51,119,119,-6.2748439002491505,-0.9706589163324068,-14187.42205846333
rice_balanced,51,119,119,-6.122297364920695,-0.9857541571758656,-13842.514342085691
chlamydomonas_balanced,51,119,119,-6.340836524064185,-0.9743647149396168,-14336.631380909123
base,52,120,120,-6.24882406396485,-0.9774985624360852,-14247.318865839858
merged,52,120,120,-6.3137934742802795,-0.9683977969631087,-14395.449121359037
human,52,120,120,-6.322491739866969,-0.963910334079992,-14415.28116689669
rice_balanced,52,120,120,-6.174399708586709,-0.9771952554098485,-14077.631335577695
chlamydomonas_balanced,52,120,120,-6.385525938811846,-0.9657305581048907,-14558.99914049101
base,53,121,121,-6.298588628864577,-0.9679226556211741,-14480.455257759662
merged,53,121,121,-6.363127596639992,-0.9609220415788648,-14628.830344675342
human,53,121,121,-6.374801462925744,-0.9558328723319429,-14655.668563266285
rice_balanced,53,121,121,-6.214663919666235,-0.9695154818636943,-14287.512351312675
chlamydomonas_balanced,53,121,121,-6.428196556073998,-0.9588184966782708,-14778.423882414121
base,54,122,122,-6.344631777695506,-0.9602386892914436,-14706.856460698182
merged,54,122,122,-6.409419098787204,-0.9526074127042208,-14857.03347098874
human,54,122,122,-6.418931413204144,-0.947588949428001,-14879.083015807206
